category,subcategory_1,type_1,material_1,region,owner,age,years_since_major_rehab,deck_length_m,span_count,order,value,abs_value,metric,n_train,n_test,seed
1,0,1,1,1,1,0,0,1,1,7,0.6941553242594075,0.6941553242594075,accuracy,3744,1249,42
1,1,0,1,0,1,1,1,1,0,7,0.7830264211369096,0.7830264211369096,accuracy,3744,1249,42
0,1,0,0,0,0,1,1,0,0,3,0.7862289831865492,0.7862289831865492,accuracy,3744,1249,42
0,0,0,1,1,0,0,0,0,0,2,0.6685348278622898,0.6685348278622898,accuracy,3744,1249,42
0,1,0,0,0,0,0,0,1,1,3,0.6253002401921537,0.6253002401921537,accuracy,3744,1249,42
0,0,1,1,0,0,1,1,0,1,5,0.7918334667734187,0.7918334667734187,accuracy,3744,1249,42
0,1,1,1,0,0,1,1,1,0,6,0.7886309047237791,0.7886309047237791,accuracy,3744,1249,42
1,0,1,0,1,1,0,0,1,1,6,0.6461168935148118,0.6461168935148118,accuracy,3744,1249,42
1,0,0,0,0,0,1,0,0,0,2,0.77822257806245,0.77822257806245,accuracy,3744,1249,42
0,0,0,1,0,0,0,0,1,0,2,0.6485188150520417,0.6485188150520417,accuracy,3744,1249,42
0,1,0,1,1,0,0,0,0,0,3,0.6701361088871097,0.6701361088871097,accuracy,3744,1249,42
0,0,0,1,1,0,1,0,0,1,4,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
0,0,1,0,0,1,0,0,0,0,2,0.6477181745396317,0.6477181745396317,accuracy,3744,1249,42
1,0,0,1,0,1,1,0,1,0,5,0.7758206565252201,0.7758206565252201,accuracy,3744,1249,42
1,1,0,0,0,0,0,0,0,0,2,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,1,1,1,1,0,0,1,1,6,0.6933546837469976,0.6933546837469976,accuracy,3744,1249,42
1,1,1,1,0,1,1,0,1,1,8,0.7790232185748599,0.7790232185748599,accuracy,3744,1249,42
0,0,0,0,0,0,1,0,1,0,2,0.7750200160128102,0.7750200160128102,accuracy,3744,1249,42
0,1,1,0,0,1,0,1,0,1,5,0.6581265012009607,0.6581265012009607,accuracy,3744,1249,42
0,1,1,1,0,0,1,1,1,1,7,0.7878302642113691,0.7878302642113691,accuracy,3744,1249,42
1,0,0,1,1,1,0,0,1,1,6,0.688550840672538,0.688550840672538,accuracy,3744,1249,42
1,0,0,1,1,1,1,1,1,0,7,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
0,0,0,1,1,1,0,0,0,0,3,0.6685348278622898,0.6685348278622898,accuracy,3744,1249,42
1,1,0,1,0,1,1,0,1,1,7,0.7846277021617294,0.7846277021617294,accuracy,3744,1249,42
1,0,0,1,0,0,0,0,0,1,3,0.6653322658126501,0.6653322658126501,accuracy,3744,1249,42
0,0,0,1,0,1,0,0,0,0,2,0.6549239391513211,0.6549239391513211,accuracy,3744,1249,42
0,1,0,0,0,0,0,0,1,0,2,0.6108887109687751,0.6108887109687751,accuracy,3744,1249,42
0,1,0,1,0,1,0,0,1,0,4,0.6677341873498799,0.6677341873498799,accuracy,3744,1249,42
1,0,0,0,1,1,1,1,0,1,6,0.7966373098478783,0.7966373098478783,accuracy,3744,1249,42
1,0,0,0,1,0,1,1,1,1,6,0.7934347477982386,0.7934347477982386,accuracy,3744,1249,42
1,1,1,1,1,0,1,1,0,1,8,0.7950360288230585,0.7950360288230585,accuracy,3744,1249,42
1,0,1,0,1,1,0,0,0,0,4,0.6509207365892714,0.6509207365892714,accuracy,3744,1249,42
1,1,1,0,1,1,1,1,1,1,9,0.7958366693354684,0.7958366693354684,accuracy,3744,1249,42
1,1,0,1,0,0,0,0,0,1,4,0.6757405924739792,0.6757405924739792,accuracy,3744,1249,42
1,1,0,0,1,1,1,1,1,0,7,0.7886309047237791,0.7886309047237791,accuracy,3744,1249,42
1,1,0,0,1,0,0,0,0,1,4,0.6293034427542034,0.6293034427542034,accuracy,3744,1249,42
0,0,0,0,0,1,1,0,0,0,2,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
0,1,0,0,0,1,1,0,0,1,4,0.7750200160128102,0.7750200160128102,accuracy,3744,1249,42
0,0,1,1,0,0,0,1,1,0,4,0.6869495596477182,0.6869495596477182,accuracy,3744,1249,42
1,1,0,1,1,1,1,1,1,0,8,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
0,0,0,1,0,1,0,0,1,1,4,0.6661329063250601,0.6661329063250601,accuracy,3744,1249,42
0,0,0,0,1,1,1,0,0,0,3,0.7774219375500401,0.7774219375500401,accuracy,3744,1249,42
0,0,0,0,1,1,1,1,1,1,6,0.7958366693354684,0.7958366693354684,accuracy,3744,1249,42
0,1,1,1,0,1,0,0,0,1,5,0.6877502001601281,0.6877502001601281,accuracy,3744,1249,42
0,0,0,0,1,0,0,0,0,1,2,0.6349079263410728,0.6349079263410728,accuracy,3744,1249,42
1,1,0,1,1,1,1,0,1,0,7,0.7822257806244995,0.7822257806244995,accuracy,3744,1249,42
1,0,1,1,1,1,1,1,1,0,8,0.7966373098478783,0.7966373098478783,accuracy,3744,1249,42
1,0,1,0,0,1,1,1,0,1,6,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
1,0,1,1,1,1,1,0,1,0,7,0.7862289831865492,0.7862289831865492,accuracy,3744,1249,42
0,1,1,1,0,1,0,0,1,1,6,0.6861489191353083,0.6861489191353083,accuracy,3744,1249,42
0,0,1,0,0,0,1,1,0,0,3,0.7886309047237791,0.7886309047237791,accuracy,3744,1249,42
1,1,1,1,0,0,1,1,1,1,8,0.7846277021617294,0.7846277021617294,accuracy,3744,1249,42
0,1,1,0,0,1,1,1,0,0,5,0.7878302642113691,0.7878302642113691,accuracy,3744,1249,42
0,1,0,1,1,0,0,1,0,1,5,0.6829463570856685,0.6829463570856685,accuracy,3744,1249,42
0,0,1,0,0,1,0,0,1,1,4,0.6509207365892714,0.6509207365892714,accuracy,3744,1249,42
0,0,1,1,0,0,0,0,0,0,2,0.6861489191353083,0.6861489191353083,accuracy,3744,1249,42
1,1,0,1,1,1,1,0,1,1,8,0.7822257806244995,0.7822257806244995,accuracy,3744,1249,42
0,0,1,1,0,1,1,1,1,1,7,0.7814251401120896,0.7814251401120896,accuracy,3744,1249,42
1,0,0,1,1,1,1,1,1,1,8,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
1,0,1,0,1,1,1,1,1,1,8,0.7958366693354684,0.7958366693354684,accuracy,3744,1249,42
0,0,1,1,0,1,0,1,0,1,5,0.6909527622097679,0.6909527622097679,accuracy,3744,1249,42
0,0,1,0,0,1,1,1,0,0,4,0.789431545236189,0.789431545236189,accuracy,3744,1249,42
1,1,1,0,0,1,1,0,1,0,6,0.7814251401120896,0.7814251401120896,accuracy,3744,1249,42
0,1,1,1,0,1,0,0,0,0,4,0.6861489191353083,0.6861489191353083,accuracy,3744,1249,42
0,0,0,0,1,1,0,0,0,0,2,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
0,0,0,0,1,1,1,1,0,1,5,0.7926341072858286,0.7926341072858286,accuracy,3744,1249,42
1,1,1,1,0,0,0,0,1,0,5,0.6821457165732586,0.6821457165732586,accuracy,3744,1249,42
1,1,1,0,1,1,1,0,1,1,8,0.7974379503602882,0.7974379503602882,accuracy,3744,1249,42
1,1,0,0,1,0,1,1,1,1,7,0.7942353883106485,0.7942353883106485,accuracy,3744,1249,42
0,0,0,0,0,0,1,0,0,1,2,0.7822257806244995,0.7822257806244995,accuracy,3744,1249,42
1,1,1,0,0,1,1,0,0,0,5,0.7814251401120896,0.7814251401120896,accuracy,3744,1249,42
1,0,0,0,0,1,0,1,1,1,5,0.6244995996797438,0.6244995996797438,accuracy,3744,1249,42
1,0,0,0,1,1,0,0,1,0,4,0.622097678142514,0.622097678142514,accuracy,3744,1249,42
1,0,1,1,0,1,1,0,1,0,6,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
0,0,1,0,0,1,1,1,1,0,5,0.7822257806244995,0.7822257806244995,accuracy,3744,1249,42
0,0,0,0,0,1,0,0,1,1,3,0.6212970376301041,0.6212970376301041,accuracy,3744,1249,42
0,1,1,0,0,1,1,0,0,1,5,0.77822257806245,0.77822257806245,accuracy,3744,1249,42
1,0,1,0,0,1,1,0,1,0,5,0.7750200160128102,0.7750200160128102,accuracy,3744,1249,42
1,1,1,1,1,0,1,1,1,0,8,0.7950360288230585,0.7950360288230585,accuracy,3744,1249,42
0,1,0,0,1,0,0,0,0,0,2,0.6317053642914331,0.6317053642914331,accuracy,3744,1249,42
1,1,0,0,0,0,0,1,1,0,4,0.6269015212169736,0.6269015212169736,accuracy,3744,1249,42
1,0,0,1,0,0,0,0,0,0,2,0.6629303442754203,0.6629303442754203,accuracy,3744,1249,42
1,0,1,0,1,1,1,0,1,1,7,0.7942353883106485,0.7942353883106485,accuracy,3744,1249,42
0,0,0,1,0,0,1,1,1,0,4,0.7838270616493195,0.7838270616493195,accuracy,3744,1249,42
1,0,0,1,1,0,1,0,1,0,5,0.7838270616493195,0.7838270616493195,accuracy,3744,1249,42
0,0,1,1,1,0,0,1,1,1,6,0.6933546837469976,0.6933546837469976,accuracy,3744,1249,42
1,1,0,1,1,1,0,0,0,1,6,0.6749399519615693,0.6749399519615693,accuracy,3744,1249,42
0,1,1,1,0,0,1,0,1,0,5,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
0,0,1,1,0,0,1,1,1,1,6,0.7838270616493195,0.7838270616493195,accuracy,3744,1249,42
0,1,0,1,0,0,0,0,0,0,2,0.6693354683746997,0.6693354683746997,accuracy,3744,1249,42
1,0,0,0,0,1,0,0,0,1,3,0.6277021617293835,0.6277021617293835,accuracy,3744,1249,42
1,1,0,0,1,0,1,1,1,0,6,0.7806244995996797,0.7806244995996797,accuracy,3744,1249,42
1,0,1,1,0,0,1,1,0,0,5,0.7910328262610088,0.7910328262610088,accuracy,3744,1249,42
1,1,0,1,0,0,1,1,0,1,6,0.7830264211369096,0.7830264211369096,accuracy,3744,1249,42
0,0,1,1,1,1,0,0,0,0,4,0.688550840672538,0.688550840672538,accuracy,3744,1249,42
1,1,0,0,1,0,1,0,1,1,6,0.7838270616493195,0.7838270616493195,accuracy,3744,1249,42
