C1M_on,C2M_on,C3M_on,C4M_on,C5M_on,C6M_on,C7M_on,C8EV_on,E1_on,H3_on,H6M_on,V3_on,V4_on,order,value,abs_value,metric,n_train,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,1,1,0,0,1,1,1,1,1,1,0,8,0.6884336917562724,0.6884336917562724,rt_mean_next_mean,3,C3M_on|C4M_on|C7M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,1,1,0,1,0,1,0,0,1,1,0,6,0.9552311827956989,0.9552311827956989,rt_mean_next_mean,2,C3M_on|C4M_on|C6M_on|C8EV_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,1,0,1,0,1,0,0,1,1,1,7,0.8145161290322581,0.8145161290322581,rt_mean_next_mean,1,C3M_on|C4M_on|C6M_on|C8EV_on|H6M_on|V3_on|V4_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,1,1,0,1,0,1,0,1,1,0,0,6,0.9942554810780616,0.9942554810780616,rt_mean_next_mean,11,C3M_on|C4M_on|C6M_on|C8EV_on|H3_on|H6M_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,1,0,1,0,1,0,1,1,1,0,7,1.038842741935484,1.038842741935484,rt_mean_next_mean,8,C3M_on|C4M_on|C6M_on|C8EV_on|H3_on|H6M_on|V3_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,1,0,1,0,1,0,1,1,1,1,8,0.9250007680491552,0.9250007680491552,rt_mean_next_mean,5,C3M_on|C4M_on|C6M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,1,1,0,1,0,1,1,0,0,1,0,6,1.0821559139784944,1.0821559139784944,rt_mean_next_mean,2,C3M_on|C4M_on|C6M_on|C8EV_on|E1_on|V3_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,1,0,1,0,1,1,1,0,1,0,7,1.344516129032258,1.344516129032258,rt_mean_next_mean,1,C3M_on|C4M_on|C6M_on|C8EV_on|E1_on|H3_on|V3_on,9,10,1.4780645161290322,1.2796774193548388,21
0,0,1,1,0,1,0,1,1,1,1,1,0,8,1.1034231950844855,1.1034231950844855,rt_mean_next_mean,4,C3M_on|C4M_on|C6M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,1,1,0,1,0,1,1,1,1,1,1,9,1.4332258064516128,1.4332258064516128,rt_mean_next_mean,1,C3M_on|C4M_on|C6M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on|V4_on,9,10,1.4780645161290322,1.2796774193548388,21
